batter_id,player_name,avg_protection_score,games,total_pa,avg_batting_order
457705,Andrew McCutchen,0.33751493975469643,120,516,4.924418604651162
457759,Justin Turner,0.31152092781997587,139,542,4.955719557195572
467793,Carlos Santana,0.3171236067540262,149,596,5.00503355704698
502671,Paul Goldschmidt,0.31798286365482026,154,657,4.963470319634704
514888,Jose Altuve,0.362114567545028,155,691,4.934876989869753
518692,Freddie Freeman,0.3425641018277862,145,629,5.079491255961845
521692,Salvador Perez,0.2715960612202877,160,663,5.226244343891403
542303,Marcell Ozuna,0.32713559456348157,164,697,5.0645624103299856
543760,Marcus Semien,0.3519600622205194,159,718,4.704735376044568
543807,George Springer,0.36062741065486553,145,616,4.878246753246753
547180,Bryce Harper,0.33177855933112693,145,632,5.1044303797468356
553993,Eugenio Suárez,0.33624496729617315,157,642,4.858255451713395
571448,Nolan Arenado,0.3215405873463555,152,635,4.889763779527559
572233,Christian Walker,0.3327063204253412,129,553,5.311030741410488
592206,Nick Castellanos,0.3117708226325457,162,663,4.883861236802414
592450,Aaron Judge,0.2977549951572584,158,704,4.96875
592518,Manny Machado,0.34519566484718206,152,641,4.951638065522621
595777,Jurickson Profar,0.3273658964382876,158,671,4.84053651266766
596019,Francisco Lindor,0.3290411165240642,155,704,4.720170454545455
605137,Josh Bell,0.3216934886548897,145,604,5.08112582781457
605141,Mookie Betts,0.4050382811472597,114,506,4.974308300395257
606115,Orlando Arcia,0.3656979142708862,159,609,4.970443349753694
606192,Teoscar Hernández,0.350565058135766,152,642,5.007788161993769
606466,Ketel Marte,0.3322416356825619,136,584,4.821917808219178
607043,Brandon Nimmo,0.34768709883775206,154,679,4.90279823269514
607208,Trea Turner,0.3743414777140565,121,541,4.903881700554528
608070,José Ramírez,0.3308023780684622,158,682,5.149560117302053
608324,Alex Bregman,0.3598257639340169,147,645,4.84031007751938
608369,Corey Seager,0.3201183811074843,123,533,4.943714821763603
608385,Jesse Winker,0.3231111384354965,147,516,4.837209302325581
621020,Dansby Swanson,0.340636393602582,148,596,4.969798657718121
621493,Taylor Ward,0.3205831345608428,156,665,4.870676691729323
621566,Matt Olson,0.3428699108750683,164,693,5.31024531024531
623993,Anthony Santander,0.33954134674419945,157,673,4.977711738484398
624413,Pete Alonso,0.3318111802037121,165,708,5.045197740112994
624585,Jorge Soler,0.35596754399695946,144,582,4.840206185567011
630105,Jake Cronenworth,0.34251258557441416,154,656,4.920731707317073
641355,Cody Bellinger,0.3163325774504981,130,570,5.033333333333333
641857,Ryan McMahon,0.31766309317968416,153,649,5.254237288135593
642715,Willy Adames,0.3087444954076935,164,703,5.1365576102418204
643217,Andrew Benintendi,0.3037608829183994,135,524,4.801526717557252
646240,Rafael Devers,0.2860401698821027,138,601,5.05324459234609
647304,Josh Naylor,0.2956322668618997,152,637,5.17425431711146
650333,Luis Arraez,0.3456633408326133,152,681,4.826725403817915
650402,Gleyber Torres,0.3575104497406908,154,667,4.7766116941529235
650489,Willi Castro,0.3264504484517118,155,638,4.993730407523511
650490,Yandy Díaz,0.3141349137033543,145,622,4.760450160771704
650559,Bryan De La Cruz,0.3209455938392282,149,623,4.959871589085072
656305,Matt Chapman,0.33949339406928347,154,650,4.929230769230769
656555,Rhys Hoskins,0.3088471645465695,134,530,4.739622641509434
656941,Kyle Schwarber,0.34995266503008843,150,693,4.698412698412699
657041,Lane Thomas,0.3335147767338965,128,529,4.871455576559546
657077,Alex Verdugo,0.3397510933982199,148,621,5.0144927536231885
660271,Shohei Ohtani,0.35857505505513343,157,720,4.786111111111111
660821,Jesús Sánchez,0.3220914292911122,149,538,4.933085501858736
661388,William Contreras,0.33804915592470786,158,691,4.806078147612157
662139,Daulton Varsho,0.36606710561163947,131,513,4.8654970760233915
663538,Nico Hoerner,0.3305218304219544,149,641,4.901716068642745
663624,Ryan Mountcastle,0.34602307507692787,126,514,5.223735408560311
663697,Jonathan India,0.34447288086453676,151,638,4.691222570532915
663728,Cal Raleigh,0.3122570157396047,153,628,5.055732484076433
663837,Matt Vierling,0.32465735563245474,145,580,4.805172413793104
663886,Tyler Stephenson,0.3244893224091828,136,517,5.0735009671179885
663898,Brendan Rodgers,0.3235208268813509,132,541,5.024029574861368
663993,Nathaniel Lowe,0.30244050345258267,140,568,5.005281690140845
664023,Ian Happ,0.31606627187772773,153,660,4.989393939393939
664034,Ty France,0.32629733480177625,139,536,4.94589552238806
664761,Alec Bohm,0.31495840452618606,143,607,5.237232289950577
665161,Jeremy Peña,0.304904356052368,159,658,4.957446808510639
665489,Vladimir Guerrero Jr.,0.32053479422703435,159,698,5.042979942693409
665742,Juan Soto,0.4714113656027071,157,714,4.973389355742297
665750,Leody Taveras,0.30965231927976494,148,529,4.916824196597354
665833,Oneil Cruz,0.3201487619026358,145,599,4.81135225375626
665862,Jazz Chisholm Jr.,0.2925693575691016,147,621,5.020933977455717
665926,Andrés Giménez,0.3610086939111449,151,634,4.826498422712934
666624,Christopher Morel,0.32232888147658795,152,614,5.078175895765472
666969,Adolis García,0.32705256708456726,154,637,4.930926216640502
666971,Lourdes Gurriel Jr.,0.3417040558093958,133,555,5.230630630630631
667670,Brent Rooker,0.3181091011745286,145,615,5.029268292682927
668227,Randy Arozarena,0.32614332346270897,154,650,4.98
668709,JJ Bleday,0.3614845170977966,158,644,4.975155279503106
668715,Spencer Steer,0.32656104789143164,158,660,5.098484848484849
668804,Bryan Reynolds,0.3293305816401204,156,692,4.728323699421965
668930,Brice Turang,0.34371666291159747,156,631,4.73217115689382
668939,Adley Rutschman,0.33215363438135953,150,647,4.970633693972179
669127,Shea Langeliers,0.2905715246460919,135,537,5.216014897579144
669257,Will Smith,0.36796720700728863,126,536,5.184701492537314
669394,Jake Burger,0.3154251328230227,137,579,5.160621761658031
669701,Josh Smith,0.31445229626637944,148,593,4.924114671163576
670541,Yordan Alvarez,0.3258284234641158,149,644,4.961180124223603
670623,Isaac Paredes,0.32314962349313714,153,644,5.069875776397516
671218,Heliot Ramos,0.3401051119186912,121,518,5.06949806949807
671277,Luis García Jr.,0.30448328298861255,140,528,5.149621212121212
672580,Maikel Garcia,0.4090284771045523,158,634,4.79179810725552
673237,Yainer Diaz,0.30415902837891323,150,630,5.06984126984127
673548,Seiya Suzuki,0.32685975852782867,132,585,5.126495726495727
676475,Alec Burleson,0.31467695223704145,152,595,4.8386554621848745
676694,Jake Meyers,0.33584130717387994,139,516,5.075581395348837
677594,Julio Rodríguez,0.3182996310376907,141,615,4.923577235772358
677951,Bobby Witt Jr.,0.3265645505677594,163,720,4.925
678662,Ezequiel Tovar,0.31851629186404373,157,697,4.865136298421808
678882,Ceddanne Rafaela,0.3569431621077274,151,571,5.028021015761821
680757,Steven Kwan,0.31859137227344647,122,543,4.716390423572744
680776,Jarren Duran,0.36254235350763814,160,739,4.7875507442489855
680869,Zack Gelof,0.33694088155596624,137,548,4.85948905109489
680977,Brendan Donovan,0.31266410371810704,153,652,4.964723926380368
681082,Bryson Stott,0.34770445109468545,147,572,4.97027972027972
681297,Colton Cowser,0.34427925791112274,151,571,5.038528896672505
681351,Logan O'Hoppe,0.32734965717285797,136,523,4.988527724665392
682829,Elly De La Cruz,0.3245781943114274,160,697,4.837876614060258
682928,CJ Abrams,0.31645491444830426,137,606,4.602310231023102
682985,Riley Greene,0.31029292424143445,139,597,4.97822445561139
682998,Corbin Carroll,0.3636426701562056,155,684,4.875730994152047
683002,Gunnar Henderson,0.31665050148450247,161,728,4.854395604395604
683011,Anthony Volpe,0.3751053058639014,159,692,4.710982658959537
683734,Andrew Vaughn,0.297897513676971,149,621,5.123993558776167
683737,Michael Busch,0.33312857647961297,149,568,4.795774647887324
686217,Sal Frelick,0.32771866895632473,146,535,4.6747663551401875
686469,Vinnie Pasquantino,0.33469080343345226,133,568,5.049295774647887
686668,Brenton Doyle,0.31806848759483647,147,604,5.049668874172186
687263,Zach Neto,0.3159992032922101,155,604,4.980132450331126
687401,Joey Ortiz,0.3124003613488079,140,525,5.026666666666666
690993,Colt Keith,0.33921324810220443,150,564,4.900709219858156
691026,Masyn Winn,0.3203203201476004,148,638,4.932601880877742
694192,Jackson Chourio,0.3297325788205798,147,585,4.994871794871795
694384,Nolan Schanuel,0.323953639100402,146,607,4.894563426688633
694671,Wyatt Langford,0.3047996393926314,134,559,4.982110912343471
696285,Jacob Young,0.3225321906326683,145,523,5.107074569789675
701538,Jackson Merrill,0.3233672007370501,154,593,4.989881956155143
