Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2024,"Angels",101.23049020767212,100.54076910018921,101.31951570510864,100.18953084945679,96.51826620101929,100.83887577056885,105.15155792236328,101.95785760879517,99.968820810318,99.55308437347412,99.63691830635071,102.42578983306885,91.87464118003845,101.30714178085327
2024,"Orioles",98.61453771591187,98.11838865280151,97.84426093101501,102.82477140426636,96.33634090423584,101.33757591247559,99.4504988193512,98.5643208026886,97.36798405647278,99.89761710166931,99.50229525566101,102.550208568573,97.66484498977661,99.37971234321594
2024,"Red Sox",104.24087047576904,102.49977111816406,101.77327394485474,103.6483645439148,108.95849466323853,115.12781381607056,97.70475625991821,97.63373732566833,100.75479745864868,103.40359210968018,97.81171083450317,99.11969900131226,100.63813924789429,100.34750699996948
2024,"White Sox",100.31185150146484,98.44171404838562,96.97624444961548,99.84568953514099,95.71471214294434,86.59574389457703,104.59927320480347,99.23262000083923,100.95459222793579,99.27688241004944,105.0019383430481,98.38629364967346,103.74898910522461,102.8328537940979
2024,"Guardians",98.87371063232422,99.72413182258606,104.78507280349731,99.67272877693176,99.9448299407959,86.71526312828064,98.36944937705994,100.75211524963379,100.98069906234741,100.377357006073,96.4580237865448,97.97605872154236,96.34908437728882,98.76306056976318
2024,"Tigers",100.30543804168701,102.70482301712036,99.43898916244507,100.39191246032715,100.31301975250244,118.27032566070557,96.36574983596802,98.06535243988037,102.02658176422119,99.33232069015503,102.46951580047607,100.78336000442505,108.0621600151062,100.08509159088135
2024,"Royals",103.06445360183716,102.77976989746094,106.07763528823853,103.1808853149414,107.566237449646,122.83360958099365,94.7476327419281,96.74959182739258,101.49831771850586,102.75006294250488,100.83245038986206,105.25450706481934,96.09828591346741,99.69483017921448
2024,"Twins",100.81133842468262,103.2376766204834,103.32217216491699,100.54808855056763,105.42677640914917,92.67441630363464,98.84607791900635,100.00592470169067,102.64594554901123,99.32869672775269,101.36736631393433,97.37018942832947,102.61743068695068,99.99281764030457
2024,"Yankees",98.9298939704895,98.57279658317566,100.56941509246826,96.89116477966309,95.46166658401489,85.35981774330139,104.41199541091919,100.00581741333008,100.79541206359863,97.79608249664307,104.80844974517822,96.62407040596008,101.63636207580566,101.86539888381958
2024,"Athletics",96.36880159378052,97.34646081924438,99.5376467704773,99.68727827072144,99.68246221542358,100,90.20385146141052,100.31253099441528,100.44629573822021,99.77065920829773,100.20142793655396,101.09726190567017,100.5655288696289,96.53988480567932
2024,"Mariners",93.54020357131958,92.02279448509216,89.43668603897095,95.09578943252563,93.31640601158142,79.49937582015991,95.56710124015808,103.59007120132446,97.4973201751709,96.87604308128357,98.9694595336914,96.1311399936676,104.69048023223877,95.7706868648529
2024,"Rays",96.29061222076416,98.19703698158264,99.63293075561523,96.25963568687439,97.67822027206421,101.6589879989624,96.0628092288971,102.02010869979858,100.54211616516113,97.37741947174072,99.4022786617279,96.46115899085999,100.33271312713623,97.19507098197937
2024,"Rangers",98.6534059047699,97.48155474662781,92.71279573440552,97.85972237586975,100.27327537536621,93.2755172252655,102.0573616027832,100.53286552429199,100.10006427764893,98.87576699256897,102.42781639099121,99.87331628799438,97.1100926399231,100.71938037872314
2024,"Blue Jays",99.45313930511475,99.74314570426941,102.98478603363037,98.10351133346558,101.97138786315918,89.55299258232117,103.16451787948608,100.09536743164062,98.98209571838379,99.76845979690552,99.59322810173035,101.31908655166626,100.45129060745239,101.43847465515137
2024,"Diamondbacks",100.64197778701782,100.49275159835815,103.69058847427368,103.14767360687256,105.35876750946045,120.4620361328125,91.07263088226318,99.20775890350342,99.16518926620483,102.89466381072998,97.78216481208801,104.66244220733643,96.80830240249634,96.59669399261475
2024,"Braves",100.12708902359009,99.58046078681946,96.62102460861206,101.11916065216064,98.61336946487427,100.10393857955933,98.85165691375732,102.05446481704712,98.87641668319702,100.7983922958374,97.68584370613098,100.7538914680481,94.44148540496826,98.05782437324524
2024,"Cubs",97.8569507598877,96.1650013923645,87.3900294303894,99.54953789710999,94.37081217765808,108.8732361793518,98.3999490737915,101.06421709060669,99.23340082168579,100.21849870681763,96.96761965751648,99.69913959503174,99.78230595588684,98.34586381912231
2024,"Reds",104.54981327056885,102.07849740982056,106.76500797271729,101.13143920898438,100.74855089187622,84.3752920627594,114.27762508392334,101.38242244720459,101.72346830368042,99.12346601486206,100.58344602584839,101.06247663497925,109.15048122406006,105.01714944839478
2024,"Rockies",113.34958076477051,113.84544372558594,107.76396989822388,108.14701318740845,111.151123046875,134.66484546661377,106.77386522293091,96.48924469947815,101.94234848022461,106.60896301269531,97.070974111557,108.52987766265869,92.26105213165283,105.22878170013428
2024,"Marlins",100.99986791610718,102.31037139892578,113.18347454071045,101.60107612609863,101.45992040634155,109.0778112411499,97.29738235473633,100.31042098999023,101.9565224647522,101.69622898101807,98.96510243415833,101.47417783737183,96.50613069534302,100.04159212112427
2024,"Astros",99.48140382766724,99.61201548576355,102.36073732376099,98.52563142776489,99.5025098323822,109.77377891540527,101.70745849609375,101.72523260116577,99.63716864585876,98.7240731716156,96.91269993782043,101.38951539993286,98.86358976364136,99.53349828720093
2024,"Dodgers",99.1439938545227,98.35629463195801,96.79959416389465,96.37328386306763,98.09365272521973,84.3478262424469,110.22814512252808,99.82847571372986,97.29170799255371,98.0325698852539,100.50338506698608,96.41668796539307,97.77875542640686,102.93134450912476
2024,"Brewers",98.89779090881348,98.28585386276245,97.5555956363678,96.32101058959961,96.8135118484497,104.98203039169312,103.84232997894287,103.73241901397705,101.1760950088501,95.61659097671509,102.57694721221924,96.79164290428162,102.93159484863281,100.17306804656982
2024,"Nationals",99.63456988334656,100.43202638626099,98.96142482757568,99.97290968894958,99.42500591278076,95.77181339263916,100.31328201293945,98.4837293624878,97.92630076408386,100.3140926361084,101.9770860671997,98.68186116218567,100.98464488983154,100.365149974823
2024,"Mets",96.34352326393127,97.99785614013672,97.93787002563477,97.16255068778992,94.30240988731384,87.10415363311768,98.66099953651428,101.17400884628296,102.21052169799805,97.26670980453491,101.33129358291626,95.76445817947388,110.03661155700684,99.38638210296631
2024,"Phillies",101.27016305923462,102.30070352554321,100.58043003082275,98.75696301460266,97.26285338401794,101.73076391220093,105.33781051635742,100.53480863571167,99.77967143058777,99.09703731536865,99.7446060180664,99.79715943336487,103.92411947250366,101.82101726531982
